name,pts,ast,reb,blk,stl,sal,age,mp,fga
T.J. McConnell,10.2,5.5,2.7,0.1,1.0,8700000.0,31,18.2,8.4
Jaden McDaniels,10.5,1.4,3.1,0.6,0.9,3901399.0,23,29.2,8.7
Jalen McDaniels,3.4,0.7,1.6,0.1,0.4,4516000.0,26,10.8,3.8
Doug McDermott,5.5,1.1,0.9,0.0,0.3,13750000.0,32,14.1,4.4
JaVale McGee,4.0,0.4,2.7,0.4,0.3,4368030.0,36,7.4,2.9
Bryce McGowens,5.1,0.9,1.7,0.2,0.4,1719864.0,21,14.9,3.9
Jordan McLaughlin,3.5,2.0,1.3,0.1,0.6,2320000.0,27,11.2,2.6
De'Anthony Melton,11.1,3.0,3.7,0.4,1.6,8000000.0,25,26.9,9.5
Sam Merrill,8.0,1.8,2.0,0.1,0.3,1997238.0,27,17.5,6.4
Chimezie Metu,6.5,0.9,3.8,0.3,0.8,2351562.0,26,16.8,4.8
Vasilije Micić,7.0,4.4,1.5,0.1,0.5,7723000.0,30,19.6,6.2
Khris Middleton,15.1,5.3,4.7,0.3,0.9,29320988.0,32,27.0,11.7
Brandon Miller,17.3,2.4,4.3,0.6,0.9,10880400.0,21,32.2,14.6
Leonard Miller,1.7,0.5,1.2,0.1,0.1,1800000.0,20,3.1,1.2
Dariq Whitehead,1.5,1.5,2.0,0.5,0.0,2966040.0,19,12.0,2.5
Patty Mills,4.0,1.1,1.1,0.0,0.6,7267250.0,35,13.0,4.1
Shake Milton,4.5,1.3,1.6,0.1,0.4,5475908.0,27,12.1,4.1
Josh Minott,1.6,0.3,0.5,0.2,0.2,1719864.0,21,2.8,1.1
Davion Mitchell,5.3,1.9,1.3,0.0,0.2,5063640.0,25,15.3,4.5
Donovan Mitchell,26.6,6.1,5.1,0.5,1.8,33162030.0,27,35.3,19.8
Evan Mobley,15.7,3.2,9.4,1.4,0.9,8882640.0,22,30.6,11.0
Malik Monk,15.4,5.1,2.9,0.5,0.6,9945830.0,25,26.0,12.4
Moses Moody,8.1,0.9,3.0,0.4,0.6,3918480.0,21,17.5,6.4
Taze Moore,4.5,1.3,2.0,0.0,0.5,64343.0,25,10.0,4.8
Wendell Moore Jr.,0.7,0.2,0.5,0.0,0.2,2421720.0,22,3.0,0.7
Ja Morant,25.1,8.1,5.6,0.6,0.8,34005250.0,24,35.3,18.9
Marcus Morris,6.4,0.7,2.7,0.3,0.3,17429682.0,34,16.7,5.4
Markieff Morris,2.5,0.6,1.5,0.1,0.2,2019706.0,34,8.3,2.6
Monte Morris,5.0,2.1,1.7,0.3,0.6,9800926.0,28,14.4,4.6
Trey Murphy III,14.8,2.2,4.9,0.5,0.9,3359280.0,23,29.6,10.9
Dejounte Murray,22.5,6.4,5.3,0.3,1.4,18214000.0,27,35.7,18.8
Jamal Murray,21.2,6.5,4.1,0.7,1.0,33833400.0,26,31.5,16.7
Keegan Murray,15.2,1.7,5.5,0.8,1.0,8409000.0,23,33.6,12.7
Kris Murray,6.1,1.3,3.6,0.3,0.9,2847480.0,23,21.7,5.9
Mike Muscala,3.0,0.7,2.4,0.2,0.2,4010730.0,32,11.3,2.9
Svi Mykhailiuk,4.0,0.9,1.2,0.0,0.3,2019706.0,26,10.1,3.3
